yr,sero,strainID,coord1,coord2,is_missAG
2003,3,02208/03,0.2724124761020623,1.5762178479733984,0
2004,3,00441/04,0.623330461314407,1.7899740587218265,0
2004,3,00602/04,0.4083184250668105,2.2076316559901397,0
2004,3,00991/04,0.00943326388287242,3.146573310748056,0
2004,3,01144/04,0.6853169777464502,3.4631547803045404,0
2004,3,01184/04,-0.18444951344368724,3.39435423174928,0
2004,3,01393/04,1.280680308124042,0.8509277834471322,0
2005,3,00806/05,0.32013176503985447,2.636665780899205,0
2005,3,01491/05,-0.03013328313458315,2.2151726954692954,0
2006,3,00018/06,0.11485030312988057,2.111418700968235,0
2006,3,00588/06,0.5043335229251927,3.9709132031091463,0
2006,3,01067/06,-0.2641045161951228,3.477053673404456,0
2006,3,01128/06,0.5976698448743227,3.8112253164562566,0
2006,3,01373/06,0.05835950354731044,2.793859469107355,0
2006,3,01375/06,-0.24477842105624317,4.672755776039911,0
2006,3,02042/06,-0.42964824815838903,3.4791931611301155,0
2006,3,02121/06,-1.0290012587640516,2.170901664702668,0
2006,3,02341/06,0.249055242829104,2.638869028388913,0
2006,3,02485/06,-0.07524412944689297,3.195516355369758,0
2006,3,02678/06,-0.41604059409569105,3.422747709887907,0
2006,3,02784/06,0.21550213925478012,4.414707606931144,0
2007,3,006.1,-0.6336787040924712,3.7078314218929815,1
2007,3,266.1,0.04414646441475084,3.6968304564985264,1
2008,3,01398/08,-1.0032528919898196,3.938609170381507,0
2009,3,00702/09,-0.07937575943960479,2.7988697990405003,0
2009,3,01231/09,-0.05084645982553179,2.7722639376449503,0
2010,3,00075/10,0.3020574865067601,2.9388469482978157,0
2010,3,01385/10,0.06744917531403065,4.582519942246047,0
2010,3,01575/10,0.1437275010980702,3.8384072780822938,0
2010,3,01601/10,0.2854489557929478,4.069727458921506,0
2011,3,00209/11,0.4182436054195356,2.097162494649869,0
2011,3,00323/11,-0.9415798705743468,4.456250066008645,0
2011,3,01035/11,-0.41433987931804656,5.099513496558804,0
2011,3,01278/11,-0.12942011304888787,3.974869868043685,0
2012,3,00608/12,-0.3991361276093263,4.833142398900114,0
2012,3,00817/12,-0.5575123451454462,3.271265905691759,0
2012,3,01094/12,-0.7140591095585469,4.544178239544164,0
2012,3,01106/12,0.2615000355882352,4.332900333234377,0
2013,3,00065/13,-0.10583707695444952,3.690718882160018,0
2013,3,00693/13,-0.6319823804827983,4.735144291158623,0
2013,3,00695/13,-1.1107024905757457,4.496831241975722,0
2013,3,00910/13,-0.16052225249428834,4.604335757561724,0
2014,3,00146/14,0.2417751452182219,4.175259900361668,0
2014,3,00560/14,-0.0345853489748098,3.949689262984308,0
2014,3,00654/14,1.0142938432197204,4.590406380870932,0
2014,3,00739/14,-0.00402453174930285,4.769312360671173,0
1994,4,00329/94,-2.3903787223305195,0.9945365461211532,0
1994,4,00615/94,-1.6365370252230305,1.1372864188341385,0
1995,4,00036/95,-3.4553525069432354,1.9610297229877651,0
1995,4,00241/95,-1.2707999533741363,0.47707101877968183,0
1995,4,00425/95,-2.3500147569836676,1.223638346059731,0
1995,4,00458/95,-1.5219972531125423,0.6472201133135628,0
1995,4,01569/95,-1.5250564414337822,0.8165687123265741,0
1996,4,01129/96,-2.1546428824726904,1.207566153828005,0
1996,4,01626/96,-2.1743206783019984,1.441021076516909,0
1997,4,00049/97,-1.706513578090825,0.953426638307288,0
1997,4,02739/97,-1.5990637285557785,0.5753232685183121,0
1998,4,04634/98,-2.2997383134906597,1.4394995116850424,0
1998,4,04786/98,-1.148666126282489,0.5996659397201657,0
1998,4,06181/98,-1.7607683170465824,0.7845388247986518,0
1998,4,06523/98,-0.8469289986402098,0.264933008189123,0
1998,4,06564/98,-1.505858677195499,0.23249901508133625,0
1999,4,04390/99,-2.641761450519168,1.518743690920452,0
1999,4,05538/99,-3.236635907258731,1.7883633278114592,0
2000,4,02021/00,-4.09089075391071,2.48332593818594,0
2000,4,02143/00,-2.1433876437413133,0.5266534596742389,0
2000,4,05496/00,-1.2417761470927475,1.0128821082569917,0
2000,4,05997/00,-1.3257871796545742,0.06935397230057667,0
2001,4,00103/01,-1.0552081772411888,0.5851486283257261,0
2001,4,00886/01,-2.5057025632468544,1.140112099959854,0
2001,4,04094/01,-2.902810523507044,1.6795224084677904,0
2001,4,04134/01,-2.5945460772225877,1.299998418812173,0
2001,4,05386/01,-3.162006503578088,2.1801366293135955,0
2001,4,06019/01,-1.278768853761998,0.06550753257799616,0
2001,4,06949/01,-1.0779635830623375,0.3863298893338972,0
2002,4,01222/02,-3.411443729862244,1.8063198543180077,0
2002,4,03060/02,-2.137462122468027,1.2031572094498306,0
2002,4,03096/02,-1.630269349560589,0.3892725286857634,0
2002,4,03113/02,-1.5450243269041222,0.22155259164499017,0
2002,4,03169/02,-0.27625476555379025,-0.11854681803963876,0
2003,4,02207/03,-2.649031377926632,1.4850545168844138,0
2003,4,02377/03,-1.1112964821111462,0.581742649602173,0
2004,4,00217/04,-0.7762495801953347,-0.01424382576794624,0
2004,4,00624/04,-0.991318093536691,0.34173467601748586,0
2004,4,00965/04,-1.306193446450971,-0.0778730569496446,0
2004,4,01315/04,-0.8341053910733087,-0.1368166779560364,0
2004,4,01369/04,-1.691988841118951,0.6387527789832085,0
2004,4,01544/04,-2.4475804405079433,1.1611814493168782,0
2005,4,00201/05,-1.1523284478457905,0.6054890314342611,0
2006,4,00047/06,-0.3873467119957354,-0.27056085093550364,0
2006,4,00189/06,-1.009844064873183,-0.6249259563205246,0
2006,4,00356/06,-2.568839263994513,1.4782538318937688,0
2006,4,00533/06,-0.5224342450178474,-0.07902736307973297,0
2006,4,00578/06,-1.6791907843062248,0.6349884962345577,0
2006,4,00617/06,-1.1423735447192414,0.34699349792481254,0
2006,4,01881/06,-3.1528859083148517,1.72093908779801,0
2006,4,02190/06,-1.6065507187312402,0.18561193793140693,0
2006,4,02540/06,-2.3629724945368156,1.0463194698464156,0
2007,4,00119/07,-1.5137153271962036,1.3013410629490012,0
2007,4,00504/07,-2.778946373567865,1.1011889759988585,0
2007,4,00694/07,-1.9742719897152432,0.3774618947516223,0
2007,4,01101/07,-2.5300064571805665,1.5453522587384778,0
2007,4,01118/07,-1.223561405222798,0.7248533555159941,0
2007,4,01391/07,-1.473153536716515,0.8488051566233455,0
2007,4,01840/07,-2.331447178990607,1.1549962550461286,0
2007,4,01991/07,-2.3328255074348023,1.2774393733303815,0
2007,4,01993/07,-0.1777746215541884,-0.359632786355503,0
2007,4,02392/07,-1.8508710976456155,1.1797874831375486,0
2008,4,00274/08,-1.13585071035811,0.869371734673277,0
2008,4,00471/08,-2.6694675281467206,1.595290379636819,0
2008,4,01380/08,-1.7105536347968002,0.7391856216288761,0
2008,4,01387/08,-0.7093040055966641,0.04856656714875689,0
2008,4,02023/08,-2.134342998431048,0.8446241174480097,0
2009,4,00781/09,-0.8991853061504433,0.7516683314263134,0
2009,4,01432/09,-2.5387763411524116,1.081722953977043,0
2009,4,01559/09,-3.475488992257017,1.4451967540041122,0
2010,4,00249/10,-2.930496565986304,0.9992972379119108,0
2010,4,00283/10,-2.5652160121753815,1.6863149477468702,0
2010,4,00780/10,-2.7297050061144295,1.3383483912328296,0
2010,4,01270/10,-2.8853337834691875,1.8282182730962748,0
2010,4,01513/10,-1.8957815060877563,1.0555232243868296,0
2010,4,01677/10,-3.4423301949865466,1.7242121769513192,0
2011,4,00251/11,-3.156034181381939,1.7227635493610882,0
2011,4,00257/11,-3.4408359311833507,1.882889904590176,0
2011,4,00369/11,-1.6892001255275293,1.134165043794941,0
2011,4,00477/11,-2.196652246617311,1.7904120844332512,0
2012,4,00112/12,-2.5086366809308336,1.2021771682802709,0
2012,4,00637/12,-3.17868275045128,1.1381052197121473,0
2012,4,01104/12,-2.444075358952969,0.9721671874871852,0
2013,4,00300/13,-2.8602487677251203,1.3505459194038714,0
2013,4,00691/13,-3.237667686964522,1.5224485157795946,0
2013,4,00801/13,-1.9753922977642688,0.8588318724671725,0
2013,4,01012/13,-3.191490142468422,2.070789793652455,0
2014,4,00214/14,-3.439123859011752,1.3830421561185124,0
2014,4,00555/14,-2.038388797028722,0.7626616744522069,0
2014,4,00595/14,-2.549362601607517,1.7896462241044664,0
2014,4,00615/14,-1.9077411362362584,1.027407588903347,0
